,gene_ks,gene_sensitive_at_5prime,gene_sensitive_at_3prime,logFC,FDR,logFC_5p,FDR_5p,logFC_3p,FDR_3p,Desc_5p,Desc_3p,is_PTR_5p,is_PTR_3p
0,KS17gene_30a,Tb927.1.270,Tb927.1.275,-1.2019108220090882,4.29680178490638e-88,0.03250856675026102,0.7429151132754326,-0.6359629966610203,1.762024222687629e-08,hypothetical protein,expression site-associated gene 4 (ESAG4)  pseudogene,none,none
2,KS17gene_34a,Tb927.1.400,Tb927.1.410,-3.25539843225931,0.0,-0.8715560520432761,1.3266439427130642e-13,1.1793372615419746,7.993807949004346e-84,hypothetical protein  conserved,retrotransposon hot spot protein (RHS  pseudogene)  putative,none,none
3,KS17gene_37a,Tb927.1.480,Tb927.1.490,-0.7796582174006813,3.903795804167594e-21,-0.16163256538238352,0.05313207085990952,-1.7732558348332201,6.080486975924237e-31,leucine-rich repeat protein (LRRP)  putative,hypothetical protein,none,none
6,KS17gene_52a,Tb927.1.1530,Tb927.1.1540,-2.406570835636059,2.3311074634708868e-161,0.7200230761136162,1.619986806897341e-22,0.7090927001370809,9.137171538638331e-42,STE group serine/threonine-protein kinase  putative,Tubulin/FtsZ family  putative,none,none
8,KS17gene_61a,Tb927.1.1710,Tb927.1.1720,0.6825302880576583,2.4658510897695247e-05,-0.35576717620137566,2.2973976416965446e-07,0.17270897330761026,8.120355977520368e-05,transmembrane protein  conserved,cyclophilin 15  putative,none,none
9,KS17gene_68a,Tb927.1.1790,Tb927.1.1820,0.7919622806818575,1.8356398175985004e-19,1.0052394131609137,5.25300386673392e-50,-0.24247928410575756,0.00025262265780887647,hypothetical PIN domain-containing protein  conserved,hypothetical PIN domain-containing protein,none,none
10,KS17gene_70a,Tb927.1.1820,Tb927.1.1840,0.8367958523215379,5.3568154498598404e-08,-0.24247928410575756,0.00025262265780887647,0.9089609310802279,1.5854471771677506e-21,hypothetical PIN domain-containing protein,conserved protein  unknown function,none,none
11,KS17gene_73a,Tb927.1.1880,Tb927.1.1890,1.3391262077907544,4.7832337766862035e-25,0.45665916900336995,1.639583368484724e-22,-0.7402933660582154,4.677701065241228e-47,WD40 repeat-containing protein,Replication Factor C Subunit 1-related protein,none,none
14,KS17gene_87a,KS17gene_86a,Tb927.1.2100,-0.4581887073097498,0.0004473234853045227,-1.6629752576043784,3.174591900628717e-35,1.2055220989331346,3.2993431423583534e-63,none,Calpain-like protein 1.1,none,none
15,KS17gene_94a,Tb927.1.2160,Tb927.1.2190,1.0519290465603506,3.4205939559188966e-35,0.8302891817751035,1.462429826227987e-14,0.6806974617981444,3.0884324353760635e-29,Small kinetoplastid calpain-related protein 1-5,Raptor N-terminal CASPase like domain containing protein  putative,none,none
16,KS17gene_103a,Tb927.1.2580,Tb927.1.2600,-2.856210607929628,2.1643439606618577e-47,-0.4407850171748182,0.00013996371648324397,0.918230355175543,1.7057765640129492e-06,exosome-associated protein 1,pumilio/PUF RNA binding protein 9,none,none
